"player"	"number"	"team"	"league"	"nationality"	"region"	"height"	"weight"	"age"	"foot"	"position"	"attacking"	"ball_control"	"dribbling"	"low_pass"	"air_pass"	"finishing"	"place_kicking"	"swerve"	"header"	"defensive"	"ball_winning"	"kicking_power"	"speed"	"explosive_power"	"unwavering_balance"	"physical_contact"	"jump"	"goalkeeping"	"gk_catch"	"clearing"	"reflexes"	"coverage"	"stamina"	"weak_foot_usage"	"weak_foot_accuracy"	"form"	"injury_resistance"	"overall"
"CASEMIRO"	"14"	"MD WHITE"	"Spanish League"	"BRAZIL"	"South America"	"184"	"80"	"26"	"Right foot"	"DMF"	"72"	"82"	"71"	"80"	"78"	"67"	"82"	"72"	"80"	"90"	"89"	"85"	"78"	"75"	"74"	"88"	"85"	"40"	"40"	"40"	"40"	"40"	"88"	"1"	"2"	"7"	"3"	"87"
"T. COURTOIS"	"25"	"MD WHITE"	"Spanish League"	"BELGIUM"	"Europe"	"199"	"94"	"26"	"Left foot"	"GK"	"43"	"60"	"43"	"60"	"62"	"44"	"60"	"49"	"70"	"65"	"57"	"76"	"62"	"61"	"70"	"88"	"83"	"93"	"95"	"90"	"96"	"94"	"60"	"2"	"2"	"6"	"3"	"87"
"V. VAN DIJK"	"4"	"LIVERPOOL"	"English League"	"NETHERLANDS"	"Europe"	"193"	"92"	"27"	"Right foot"	"CB"	"61"	"76"	"72"	"80"	"81"	"62"	"76"	"67"	"87"	"90"	"90"	"82"	"78"	"73"	"61"	"93"	"85"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"2"	"6"	"3"	"87"
"S. UMTITI"	"23"	"BARCELONA"	"Spanish League"	"FRANCE"	"Europe"	"182"	"75"	"25"	"Left foot"	"CB"	"63"	"75"	"66"	"81"	"79"	"61"	"63"	"72"	"85"	"87"	"90"	"76"	"79"	"75"	"68"	"88"	"89"	"40"	"40"	"40"	"40"	"40"	"84"	"2"	"2"	"6"	"3"	"87"
"M. REUS"	NA	"Free Agents"	"Free Agent"	"GERMANY"	"Europe"	"180"	"71"	"29"	"Right foot"	"LWF"	"82"	"84"	"86"	"84"	"82"	"83"	"84"	"84"	"65"	"54"	"53"	"85"	"89"	"88"	"80"	"69"	"75"	"40"	"40"	"40"	"40"	"40"	"80"	"3"	"3"	"7"	"1"	"87"
"M. ICARDI"	"9"	"INTERNAZIONALE"	"Italian League"	"ARGENTINA"	"South America"	"181"	"75"	"25"	"Right foot"	"CF"	"92"	"83"	"75"	"75"	"65"	"91"	"69"	"77"	"90"	"49"	"48"	"84"	"82"	"80"	"75"	"80"	"91"	"40"	"40"	"40"	"40"	"40"	"78"	"3"	"3"	"6"	"3"	"87"
"EDERSON"	"31"	"MAN BLUE"	"English League"	"BRAZIL"	"South America"	"188"	"86"	"25"	"Left foot"	"GK"	"40"	"71"	"70"	"78"	"80"	"44"	"60"	"42"	"60"	"73"	"45"	"89"	"75"	"75"	"70"	"85"	"84"	"94"	"90"	"96"	"93"	"93"	"60"	"2"	"3"	"6"	"3"	"87"
"ALISSON"	"13"	"LIVERPOOL"	"English League"	"BRAZIL"	"South America"	"191"	"91"	"26"	"Right foot"	"GK"	"40"	"60"	"58"	"70"	"72"	"45"	"60"	"45"	"70"	"54"	"47"	"78"	"65"	"68"	"68"	"82"	"84"	"94"	"88"	"93"	"95"	"94"	"62"	"2"	"2"	"6"	"3"	"87"
"N. KANTÉ"	"7"	"LONDON FC"	"English League"	"FRANCE"	"Europe"	"168"	"68"	"27"	"Right foot"	"CMF"	"74"	"81"	"80"	"86"	"80"	"64"	"63"	"63"	"64"	"94"	"92"	"73"	"87"	"87"	"92"	"79"	"82"	"40"	"40"	"40"	"40"	"40"	"96"	"2"	"2"	"8"	"3"	"87"
"G. BUFFON"	"1"	"PSG"	"Ligue 1 Conforama"	"ITALY"	"Europe"	"191"	"94"	"40"	"Right foot"	"GK"	"50"	"60"	"62"	"66"	"68"	"50"	"60"	"56"	"70"	"50"	"53"	"80"	"64"	"64"	"64"	"83"	"79"	"96"	"89"	"94"	"93"	"92"	"60"	"2"	"2"	"6"	"3"	"86"
"S. HANDANOVIC"	"1"	"INTERNAZIONALE"	"Italian League"	"SLOVENIA"	"Europe"	"193"	"89"	"34"	"Right foot"	"GK"	"43"	"60"	"48"	"60"	"61"	"43"	"60"	"41"	"70"	"61"	"55"	"84"	"63"	"59"	"56"	"84"	"88"	"93"	"89"	"93"	"93"	"94"	"64"	"2"	"2"	"6"	"3"	"86"
"L. BONUCCI"	"19"	"PM BLACK WHITE"	"Italian League"	"ITALY"	"Europe"	"190"	"85"	"31"	"Right foot"	"CB"	"68"	"75"	"68"	"79"	"85"	"69"	"66"	"65"	"86"	"89"	"90"	"75"	"74"	"70"	"69"	"84"	"84"	"40"	"40"	"40"	"40"	"40"	"81"	"2"	"2"	"6"	"3"	"86"
"M. BENATIA"	"4"	"PM BLACK WHITE"	"Italian League"	"MOROCCO"	"Africa"	"188"	"88"	"31"	"Right foot"	"CB"	"65"	"71"	"75"	"76"	"73"	"65"	"60"	"64"	"85"	"92"	"90"	"81"	"77"	"73"	"68"	"86"	"85"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"5"	"2"	"86"
"M. HAMŠÍK"	"17"	"NAPOLI"	"Italian League"	"SLOVAKIA"	"Europe"	"183"	"79"	"31"	"Right foot"	"CMF"	"85"	"88"	"83"	"88"	"84"	"82"	"73"	"81"	"76"	"60"	"64"	"83"	"79"	"76"	"75"	"77"	"76"	"40"	"40"	"40"	"40"	"40"	"79"	"3"	"3"	"6"	"3"	"86"
"I. RAKITIC"	"4"	"BARCELONA"	"Spanish League"	"CROATIA"	"Europe"	"184"	"78"	"30"	"Right foot"	"CMF"	"81"	"87"	"81"	"88"	"90"	"79"	"85"	"88"	"68"	"69"	"72"	"84"	"67"	"67"	"80"	"73"	"61"	"40"	"40"	"40"	"40"	"40"	"81"	"2"	"2"	"6"	"3"	"86"
"Á. DI MARÍA"	"11"	"PSG"	"Ligue 1 Conforama"	"ARGENTINA"	"South America"	"180"	"75"	"30"	"Left foot"	"RWF"	"83"	"85"	"88"	"82"	"88"	"74"	"79"	"88"	"60"	"56"	"57"	"83"	"87"	"89"	"88"	"60"	"60"	"40"	"40"	"40"	"40"	"40"	"81"	"1"	"2"	"5"	"2"	"86"
"M. PJANIC"	"5"	"PM BLACK WHITE"	"Italian League"	"BOSNIA AND HERZEGOVINA"	"Europe"	"180"	"72"	"28"	"Right foot"	"DMF"	"68"	"86"	"86"	"90"	"86"	"64"	"91"	"86"	"63"	"74"	"74"	"79"	"74"	"74"	"83"	"68"	"66"	"40"	"40"	"40"	"40"	"40"	"80"	"3"	"3"	"5"	"2"	"86"
"E. DŽEKO"	"9"	"ROMA"	"Italian League"	"BOSNIA AND HERZEGOVINA"	"Europe"	"193"	"84"	"32"	"Right foot"	"CF"	"88"	"84"	"79"	"77"	"73"	"89"	"60"	"74"	"85"	"59"	"57"	"86"	"71"	"73"	"79"	"86"	"71"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"2"	"6"	"2"	"86"
"K. NAVAS"	"1"	"MD WHITE"	"Spanish League"	"COSTA RICA"	"North & Central America"	"185"	"78"	"32"	"Right foot"	"GK"	"41"	"66"	"66"	"73"	"79"	"52"	"62"	"52"	"67"	"73"	"57"	"81"	"73"	"75"	"70"	"77"	"90"	"93"	"89"	"88"	"95"	"93"	"80"	"2"	"2"	"5"	"2"	"86"
"D. MERTENS"	"14"	"NAPOLI"	"Italian League"	"BELGIUM"	"Europe"	"169"	"61"	"31"	"Right foot"	"CF"	"87"	"88"	"87"	"84"	"78"	"86"	"83"	"86"	"61"	"51"	"47"	"82"	"86"	"90"	"87"	"63"	"65"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"3"	"7"	"3"	"86"
"T. MÜLLER"	NA	"Free Agents"	"Free Agent"	"GERMANY"	"Europe"	"186"	"75"	"29"	"Right foot"	"SS"	"95"	"83"	"79"	"80"	"77"	"83"	"65"	"82"	"85"	"58"	"61"	"80"	"81"	"78"	"77"	"70"	"84"	"40"	"40"	"40"	"40"	"40"	"92"	"3"	"3"	"7"	"3"	"86"
"N. OTAMENDI"	"30"	"MAN BLUE"	"English League"	"ARGENTINA"	"South America"	"183"	"81"	"30"	"Right foot"	"CB"	"61"	"71"	"61"	"76"	"73"	"60"	"60"	"61"	"91"	"89"	"92"	"71"	"70"	"68"	"72"	"89"	"93"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"5"	"3"	"86"
"C. IMMOBILE"	"17"	"LAZIO"	"Italian League"	"ITALY"	"Europe"	"184"	"80"	"28"	"Right foot"	"CF"	"92"	"80"	"78"	"77"	"66"	"92"	"66"	"76"	"84"	"43"	"43"	"86"	"84"	"81"	"72"	"80"	"78"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"3"	"6"	"3"	"86"
"KOKE"	"6"	"KB RED WHITE"	"Spanish League"	"SPAIN"	"Europe"	"178"	"73"	"26"	"Right foot"	"CMF"	"80"	"88"	"84"	"88"	"86"	"72"	"79"	"87"	"62"	"62"	"71"	"84"	"71"	"77"	"83"	"74"	"63"	"40"	"40"	"40"	"40"	"40"	"85"	"3"	"3"	"7"	"3"	"86"
"D. ALABA"	NA	"Free Agents"	"Free Agent"	"AUSTRIA"	"Europe"	"180"	"76"	"26"	"Left foot"	"LB"	"72"	"83"	"82"	"85"	"80"	"60"	"84"	"72"	"72"	"75"	"82"	"80"	"86"	"86"	"75"	"62"	"80"	"40"	"40"	"40"	"40"	"40"	"86"	"2"	"3"	"7"	"2"	"86"
"ISCO"	"22"	"MD WHITE"	"Spanish League"	"SPAIN"	"Europe"	"176"	"74"	"26"	"Right foot"	"AMF"	"78"	"92"	"95"	"85"	"84"	"77"	"75"	"85"	"60"	"50"	"50"	"76"	"73"	"79"	"88"	"62"	"62"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"2"	"6"	"2"	"86"
"R. VARANE"	"5"	"MD WHITE"	"Spanish League"	"FRANCE"	"Europe"	"191"	"78"	"25"	"Right foot"	"CB"	"50"	"78"	"63"	"74"	"79"	"50"	"60"	"61"	"86"	"92"	"88"	"73"	"87"	"81"	"72"	"86"	"83"	"40"	"40"	"40"	"40"	"40"	"80"	"1"	"2"	"5"	"1"	"86"
"ALEX SANDRO"	"12"	"PM BLACK WHITE"	"Italian League"	"BRAZIL"	"South America"	"181"	"76"	"27"	"Left foot"	"LB"	"76"	"80"	"82"	"80"	"83"	"68"	"64"	"78"	"76"	"73"	"77"	"82"	"86"	"84"	"76"	"79"	"78"	"40"	"40"	"40"	"40"	"40"	"88"	"2"	"3"	"5"	"2"	"86"
